month_date_yyyymm,state,state_id,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202112,massachusetts,ma,630200.0,0.0083,0.0214,5984,-0.258,-0.334,55.0,0.2790697674418605,-0.12,3156,-0.4211,-0.1224,156,0.2581,-0.1333,908,-0.5592,-0.3183,2486,-0.237,-0.5786,370.87398840612985,0.0094,0.0857,1703.0,0.0044,-0.0513,1191797.6561629688,0.0606,0.0736,8470,-0.252,-0.431,0.41544117647058826,0.0115,-0.2412,0
202112,west virginia,wv,176050.0,-0.0214,0.067,2997,-0.0634,-0.2483,68.5,0.08730158730158721,-0.19883040935672514,984,-0.2288,0.1233,72,0.0588,-0.1,424,-0.4078,-0.269,2432,-0.0942,0.0415,104.14006714900458,0.0039,0.1234,1723.0,-0.0055,-0.0132,265893.0302441716,-0.0063,0.0718,5429,-0.0775,-0.1413,0.8114781448114782,-0.0276,0.2258,0
202112,connecticut,ct,449900.0,-0.0001,0.1843,4989,-0.1754,-0.5779,67.5,0.19469026548672574,0.14406779661016955,2120,-0.3473,-0.2587,192,1.2857,0.4118,700,-0.4391,-0.4337,7484,-0.1445,50.2603,239.40001374145453,0.0088,0.2669,1856.0,-0.0167,-0.0764,1128281.1957850636,0.0278,0.3555,12473,-0.1571,0.0424,1.500100220485067,0.0541,1.4877,0
202112,wisconsin,wi,289700.0,0.0123,0.1144,7006,-0.1546,-0.179,59.0,0.14563106796116498,-0.1127819548872181,2712,-0.3307,-0.0424,132,0.9412,0.7368,1268,-0.4173,-0.0865,6719,-0.2366,-0.0607,163.48536446542087,0.0088,0.119,1684.0,-0.0082,-0.0272,375591.24542607716,-0.0097,0.0274,13725,-0.1968,-0.125,0.959035112760491,-0.103,0.1208,0
202112,colorado,co,549450.0,-0.0257,0.0578,9127,-0.0559,-0.1712,58.5,0.2315789473684211,-0.176056338028169,4444,-0.3043,-0.0414,552,0.15,-0.1481,1308,-0.4922,-0.2005,8827,-0.2807,-0.2306,254.6759858627904,-0.0195,0.0193,2148.5,0.007,0.0319,1164542.2677370287,0.0003,-0.0107,17954,-0.1816,-0.2015,0.9671304919469705,-0.3022,-0.0746,0
202112,california,ca,684500.0,-0.0179,-0.0311,27884,-0.2059,-0.2784,44.5,0.14102564102564097,-0.09183673469387754,19460,-0.2829,-0.1308,1224,-0.0838,-0.1331,4732,-0.4296,-0.2795,38968,-0.1332,-0.1738,402.60331755455707,-0.0147,-0.0302,1754.0,-0.002,-0.0413,1474962.8360078542,0.0253,-0.0365,66852,-0.1651,-0.2209,1.3975039449146465,0.1173,0.177,0
202112,ohio,oh,187000.0,-0.0155,-0.0155,13142,-0.135,-0.1194,50.0,0.16279069767441867,-0.09090909090909094,6888,-0.3183,0.0238,564,0.0846,0.7407,3892,-0.2939,-0.0132,17154,-0.1634,-0.0202,115.37390387390387,-0.0111,0.0651,1616.0,-0.011,-0.0591,282794.2907970279,-0.0088,-0.0264,30296,-0.1513,-0.0659,1.3052807791812508,-0.0443,0.1321,0
202112,iowa,ia,220500.0,0.0027,0.0164,6440,-0.0814,-0.21,59.5,0.16666666666666674,-0.17361111111111116,2280,-0.1972,0.131,456,-0.1163,0.6522,1636,-0.2468,0.1236,5651,-0.1359,-0.0138,143.32065412064713,0.0159,0.0927,1525.5,-0.0068,-0.0357,275606.25279882667,-0.001,0.0781,12091,-0.1077,-0.129,0.8774844720496895,-0.0553,0.1746,0
202112,minnesota,mn,317250.0,0.0087,0.0754,8235,-0.2066,-0.1739,54.0,0.19999999999999996,-0.11475409836065575,3176,-0.3892,-0.1407,180,-0.0426,-0.2241,1392,-0.4743,-0.1077,7798,-0.2183,-0.0437,178.29079634666027,0.0142,0.1041,1800.0,-0.0066,-0.0379,409560.02506230306,0.0065,0.0314,16033,-0.2124,-0.1153,0.9469338190649667,-0.0141,0.1289,0
202112,new jersey,nj,426492.0,-0.0139,-0.0285,16277,-0.1925,-0.2916,54.5,0.15957446808510634,-0.06837606837606836,6860,-0.3221,-0.1451,376,0.1463,-0.2419,1884,-0.4053,-0.3883,13689,-0.0847,0.1391,233.43640067626458,0.0015,0.0786,1653.5,-0.0164,-0.0775,672208.7098147706,0.0155,0.0215,29966,-0.1466,-0.1437,0.8410026417644529,0.0991,0.318,0
